This is a logfile generated by pires.obd.readerlat:0.0;long:0.0;alt:0.0;vehicleid:goluefs;readings:ODULE_VOLTAGE=NODATA; Long Term Fuel Trim Bank 1=-8.6%; Timeout=OK; Select Protocol AUTO=OK; AIR_INTAKE_TEMP=44C; VIN=9BWAB45U3FP512259; Line Feed Off=OK; DISTANCE_TRAVELED_MIL_ON=0km; FUEL_PRESSURE=NODATA; ENGINE_OIL_TEMP=NODATA; Short Term Fuel Trim Bank 1=-12.5%; ENGINE_RUNTIME=NODATA; THROTTLE_POS=22.0%; Reset OBD=ELM327v1.5; TROUBLE_CODES=; Echo Off=OK; ENGINE_LOAD=58.8%; AMBIENT_AIR_TEMP=...NODATA; ENGINE_RPM=1581RPM; INTAKE_MANIFOLD_PRESSURE=52kPa
TIME;LATITUDE;LONGITUDE;ALTITUDE;VEHICLE_ID;BAROMETRIC_PRESSURE;ENGINE_COOLANT_TEMP;FUEL_LEVEL;ENGINE_LOAD;AMBIENT_AIR_TEMP;ENGINE_RPM;INTAKE_MANIFOLD_PRESSURE;MAF;Term Fuel Trim Bank 1;FUEL_ECONOMY;Long Term Fuel Trim Bank 2;FUEL_TYPE;AIR_INTAKE_TEMP;FUEL_PRESSURE;SPEED;Short Term Fuel Trim Bank 2;Short Term Fuel Trim Bank 1;ENGINE_RUNTIME;THROTTLE_POS;DTC_NUMBER;TROUBLE_CODES;TIMING_ADVANCE;EQUIV_RATIO
1503527187655;0.0;0.0;0.0;goluefs;null;90C;null;42.0%;null;1539RPM;62kPa;null;null;null;null;null;43C;NODATA;47km/h;null;-9.4%;NODATA;22.0%;null;;null;null
1503527189942;0.0;0.0;0.0;goluefs;null;90C;null;17.6%;null;1702RPM;27kPa;null;null;null;null;null;42C;NODATA;48km/h;null;19.5%;NODATA;16.9%;null;;null;null
1503527192664;0.0;0.0;0.0;goluefs;null;90C;null;54.9%;null;1729RPM;67kPa;null;null;null;null;null;43C;NODATA;51km/h;null;-8.6%;NODATA;22.0%;null;;null;null
1503527194963;0.0;0.0;0.0;goluefs;null;90C;null;47.8%;null;1901RPM;37kPa;null;null;null;null;null;42C;NODATA;55km/h;null;-21.1%;NODATA;18.8%;null;;null;null
1503527197684;0.0;0.0;0.0;goluefs;null;90C;null;35.7%;null;1934RPM;28kPa;null;null;null;null;null;42C;NODATA;55km/h;null;0.0%;NODATA;20.0%;null;;null;null
1503527199982;0.0;0.0;0.0;goluefs;null;90C;null;28.6%;null;1879RPM;22kPa;null;null;null;null;null;42C;NODATA;53km/h;null;-4.7%;NODATA;15.3%;null;;null;null
1503527202690;0.0;0.0;0.0;goluefs;null;90C;null;17.6%;null;1764RPM;42kPa;null;null;null;null;null;43C;NODATA;51km/h;null;16.4%;NODATA;18.8%;null;;null;null
1503527204985;0.0;0.0;0.0;goluefs;null;90C;null;31.8%;null;1831RPM;53kPa;null;null;null;null;null;43C;NODATA;52km/h;null;15.6%;NODATA;18.4%;null;;null;null
1503527207701;0.0;0.0;0.0;goluefs;null;90C;null;53.7%;null;1904RPM;72kPa;null;null;null;null;null;43C;NODATA;56km/h;null;0.8%;NODATA;24.7%;null;;null;null
1503527209995;0.0;0.0;0.0;goluefs;null;91C;null;22.7%;null;2037RPM;20kPa;null;null;null;null;null;42C;NODATA;56km/h;null;-14.1%;NODATA;15.7%;null;;null;null
