This is a logfile generated by pires.obd.readerlat:0.0;long:0.0;alt:0.0;vehicleid:qgj1172;readings: Off=OK; Select Protocol AUTO=OK; Reset OBD=ATZELM327v1.5; Echo Off=OK; AMBIENT_AIR_TEMP=...NODATA; Timeout=OK
TIME;LATITUDE;LONGITUDE;ALTITUDE;VEHICLE_ID;BAROMETRIC_PRESSURE;ENGINE_COOLANT_TEMP;FUEL_LEVEL;ENGINE_LOAD;AMBIENT_AIR_TEMP;ENGINE_RPM;INTAKE_MANIFOLD_PRESSURE;MAF;Term Fuel Trim Bank 1;FUEL_ECONOMY;Long Term Fuel Trim Bank 2;FUEL_TYPE;AIR_INTAKE_TEMP;FUEL_PRESSURE;SPEED;Short Term Fuel Trim Bank 2;Short Term Fuel Trim Bank 1;ENGINE_RUNTIME;THROTTLE_POS;DTC_NUMBER;TROUBLE_CODES;TIMING_ADVANCE;EQUIV_RATIO
1494582908210;-5.876252342004835;-35.225795495234365;8.721269340239385;qgj1172;null;29C;null;45.1%;null;1004RPM;null;6.47g/s;null;null;null;null;30C;null;0km/h;null;null;00:00:25;16.1%;null;null;null;1.0%
1494582909227;-5.8761053957793425;-35.225834932463734;41.425588893736936;qgj1172;null;null;null;44.3%;null;1029RPM;null;6.41g/s;null;null;null;null;30C;null;null;null;null;00:00:26;15.7%;null;null;null;1.0%
1494582911243;-5.8761053957793425;-35.225834932463734;41.425588893736936;qgj1172;null;30C;null;44.3%;null;1015RPM;null;6.33g/s;null;null;null;null;30C;null;0km/h;null;null;00:00:28;15.7%;null;null;null;1.0%
1494582912262;-5.8761053957793425;-35.225834932463734;41.425588893736936;qgj1172;null;31C;null;42.4%;null;1029RPM;null;6.72g/s;null;null;null;null;30C;null;0km/h;null;null;00:00:29;16.1%;null;null;null;1.0%
1494582914284;-5.876157905221461;-35.225837750825846;27.91039459341959;qgj1172;null;31C;null;35.7%;null;957RPM;null;8.91g/s;null;null;null;null;30C;null;0km/h;null;null;00:00:31;17.6%;null;null;null;1.0%
1494582916314;-5.876157905221461;-35.225837750825846;27.91039459341959;qgj1172;null;31C;null;51.0%;null;1059RPM;null;7.61g/s;null;null;null;null;30C;null;0km/h;null;null;00:00:33;16.9%;null;null;null;1.0%
1494582918335;-5.876157905221461;-35.225837750825846;27.91039459341959;qgj1172;null;32C;null;49.4%;null;1072RPM;null;7.33g/s;null;null;null;null;30C;null;0km/h;null;null;00:00:34;16.5%;null;null;null;1.0%
1494582920357;-5.8761802486124255;-35.22577250203574;24.77399891588775;qgj1172;null;33C;null;43.9%;null;1235RPM;null;8.13g/s;null;null;null;null;30C;null;5km/h;null;null;00:00:36;16.9%;null;null;null;1.0%
1494582921367;-5.8761802486124255;-35.22577250203574;24.77399891588775;qgj1172;null;32C;null;43.9%;null;1377RPM;null;5.11g/s;null;null;null;null;30C;null;null;null;null;00:00:38;14.9%;null;null;null;1.0%
1494582922383;-5.876165717477437;-35.225719553501634;19.029998772353306;qgj1172;null;33C;null;36.9%;null;1226RPM;null;5.41g/s;null;null;null;null;30C;null;7km/h;null;null;00:00:39;15.3%;null;null;null;1.0%
